Date,Open,Close,High,Low,Volume
14-Jun-17,381.089996,380.660004,384.25,376.309998,12818400
15-Jun-17,372.5,375.339996,375.459991,366.48999,10426500
16-Jun-17,377.980011,371.399994,378.01001,370.100006,6731000
19-Jun-17,375,369.799988,376.700012,367.799988,6549300
20-Jun-17,376.670013,372.23999,378.880005,369.730011,7438700
21-Jun-17,374.350006,376.399994,376.98999,368.019989,4923200
22-Jun-17,377.98999,382.609985,385,373.570007,7529800
23-Jun-17,382.450012,383.450012,386.98999,379.350006,6445800
26-Jun-17,386.690002,377.48999,386.950012,373.100006,6604100
27-Jun-17,376.399994,362.369995,376.399994,362.019989,6996400
28-Jun-17,366.679993,371.23999,371.73999,362.519989,6302500
29-Jun-17,370.609985,360.75,371,354.100006,8221000
30-Jun-17,363.709991,361.609985,366.769989,359.619995,5848500
3-Jul-17,370.23999,352.619995,371.350006,351.5,6305400
5-Jul-17,347.200012,327.089996,347.23999,326.329987,17046700
6-Jul-17,317.26001,308.829987,320.790009,306.299988,19324500
7-Jul-17,313.5,313.220001,317,307.380005,14176900
10-Jul-17,312.899994,316.049988,317.940002,303.130005,13820900
11-Jul-17,316,327.220001,327.279999,314.299988,11559400
12-Jul-17,330.399994,329.519989,333.100006,324.5,10346100
13-Jul-17,330.109985,323.410004,331.600006,319.970001,8594500
14-Jul-17,323.190002,327.779999,328.420013,321.220001,5625200
17-Jul-17,325.540009,319.570007,327.100006,313.450012,9876900
18-Jul-17,317.5,328.23999,329.130005,315.660004,6373700
19-Jul-17,328.230011,325.26001,331.649994,323.220001,6357000
20-Jul-17,326.899994,329.920013,330.220001,324.200012,5166200
21-Jul-17,329.459991,328.399994,331.26001,325.799988,4901600
24-Jul-17,330.23999,342.519989,343.399994,330.01001,8637100
25-Jul-17,345,339.600006,345.600006,334.149994,6989200
26-Jul-17,340.359985,343.850006,345.5,338.119995,4820800
27-Jul-17,346,334.459991,347.5,326.290009,8302400
28-Jul-17,336.890015,335.070007,339.600006,332.51001,4880400
31-Jul-17,335.5,323.470001,341.48999,321.040009,8535100
1-Aug-17,323,319.570007,324.450012,316.130005,8303100
2-Aug-17,318.940002,325.890015,327.119995,311.220001,13091500
3-Aug-17,345.329987,347.089996,350,343.149994,13535000
4-Aug-17,347,356.910004,357.269989,343.299988,9268900
7-Aug-17,357.350006,355.170013,359.480011,352.75,6324500
8-Aug-17,357.529999,365.220001,368.579987,357.399994,7449800
9-Aug-17,361,363.529999,370,358.950012,6892100
10-Aug-17,361.600006,355.399994,366.649994,354.660004,7092900
11-Aug-17,356.970001,357.869995,361.26001,353.619995,4365800
14-Aug-17,364.630005,363.799988,367.660004,362.600006,4502700
15-Aug-17,365.200012,362.329987,365.48999,359.369995,3085100
16-Aug-17,363,362.910004,366.5,362.519989,3413800
17-Aug-17,361.209991,351.920013,363.299988,351.589996,5027700
18-Aug-17,352.910004,347.459991,354,345.799988,5408200
21-Aug-17,345.820007,337.859985,345.820007,331.850006,6495400
22-Aug-17,341.130005,341.350006,342.23999,337.369995,4322000
23-Aug-17,338.98999,352.769989,353.48999,338.299988,4954500
24-Aug-17,352.519989,352.929993,356.660004,349.73999,4584700
25-Aug-17,354.23999,348.049988,355.690002,347.299988,3484000
28-Aug-17,347.279999,345.660004,347.350006,339.720001,3764000
29-Aug-17,339.480011,347.359985,349.049988,338.75,4073700
